,Name,Pokémon,Description,Gen.
84,Ice Body,17,The Pokémon gradually regains HP in a hailstorm.,4
85,Ice Face,2,Avoids damage from Physical moves for one turn.,8
86,Ice Scales,2,Halves damage from Special moves.,8
87,Illuminate,8,Raises the likelihood of meeting wild Pokémon.,3
88,Illusion,2,Enters battle disguised as the last Pokémon in the party.,5
89,Immunity,3,Prevents the Pokémon from getting poisoned.,3
90,Imposter,1,It transforms itself into the Pokémon it is facing.,5
91,Infiltrator,24,Passes through the foe's barrier and strikes.,5
92,Innards Out,1,Deals damage upon fainting.,7
93,Inner Focus,36,The Pokémon is protected from flinching.,3
94,Insomnia,20,Prevents the Pokémon from falling asleep.,3
95,Intimidate,32,Lowers the foe's Attack stat.,3
96,Intrepid Sword,2,Boosts Attack in battle.,8
97,Iron Barbs,3,Inflicts damage to the Pokémon on contact.,5
98,Iron Fist,15,Boosts the power of punching moves.,4
99,Justified,10,Raises Attack when hit by a Dark-type move.,5
100,Keen Eye,40,Prevents other Pokémon from lowering accuracy.,3
101,Klutz,10,The Pokémon can't use any held items.,4
102,Leaf Guard,20,Prevents problems with status in sunny weather.,4
103,Levitate,41,Gives immunity to Ground type moves.,3
104,Libero,3,Changes the Pokémon's type to its last used move.,8
105,Light Metal,6,Halves the Pokémon's weight.,5
106,Lightning Rod,19,Draws in all Electric-type moves to up Sp. Attack.,3
107,Limber,14,The Pokémon is protected from paralysis.,3
108,Liquid Ooze,4,Damages attackers using any draining move.,3
109,Liquid Voice,3,All sound-based moves become Water-type moves.,7
110,Long Reach,3,The Pokémon uses its moves without making contact with the target.,7
111,Magic Bounce,9,Reflects status- changing moves.,5
112,Magic Guard,10,Protects the Pokémon from indirect damage.,4
113,Magician,6,The Pokémon steals the held item of a Pokémon it hits with a move.,6
114,Magma Armor,3,Prevents the Pokémon from becoming frozen.,3
115,Magnet Pull,9,Prevents Steel-type Pokémon from escaping.,3
116,Marvel Scale,3,Ups Defense if there is a status problem.,3
117,Mega Launcher,3,Boosts the power of aura and pulse moves.,6
118,Merciless,2,The Pokémon's attacks become critical hits if the target is poisoned.,7
119,Mimicry,1,Changes type depending on the terrain.,8
120,Minus,7,Ups Sp. Atk if another Pokémon has Plus or Minus.,3
121,Mirror Armor,1,Reflects any stat-lowering effects.,8
122,Misty Surge,2,The Pokémon creates a Misty Terrain when it enters a battle.,7
123,Mold Breaker,18,Moves can be used regardless of Abilities.,4
124,Moody,7,Raises one stat and lowers another.,5
125,Motor Drive,4,Raises Speed if hit by an Electric-type move.,4
126,Moxie,13,Boosts Attack after knocking out any Pokémon.,5
127,Multiscale,2,Reduces damage when HP is full.,5
128,Multitype,1,Changes type to match the held Plate.,4
129,Mummy,2,Contact with this Pokémon spreads this Ability.,5
130,Natural Cure,16,All status problems heal when it switches out.,3
131,Neuroforce,1,Powers up moves that are super effective.,7
132,Neutralizing Gas,3,Neutralizes abilities of all Pokémon in battle.,8
133,No Guard,10,Ensures attacks by or against the Pokémon land.,4
134,Normalize,2,All the Pokémon's moves become the Normal type.,4
135,Oblivious,24,Prevents it from becoming infatuated.,3
136,Overcoat,22,Protects the Pokémon from weather damage.,5
137,Overgrow,26,Powers up Grass-type moves in a pinch.,3
138,Own Tempo,25,Prevents the Pokémon from becoming confused.,3
139,Parental Bond,1,Allows the Pokémon to attack twice.,6
140,Pastel Veil,2,Prevents the Pokémon and its allies from being poisoned.,8
141,Perish Body,1,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",8
142,Pickpocket,10,Steals an item when hit by another Pokémon.,5
143,Pickup,27,The Pokémon may pick up items.,3
144,Pixilate,3,Turns Normal-type moves into Fairy-type moves.,6
145,Plus,9,Ups Sp. Atk if another Pokémon has Plus or Minus.,3
146,Poison Heal,3,Restores HP if the Pokémon is poisoned.,4
147,Poison Point,16,Contact with the Pokémon may poison the attacker.,3
148,Poison Touch,9,May poison targets when a Pokémon makes contact.,5
149,Power Construct,3,Changes form when HP drops below half.,7
150,Power of Alchemy,2,The Pokémon copies the Ability of a defeated ally.,7
151,Power Spot,1,Just being next to the Pokémon powers up moves.,8
152,Prankster,17,Gives priority to a status move.,5
153,Pressure,30,The Pokémon raises the foe's PP usage.,3
154,Primordial Sea,1,Makes it rain heavily when the ability activates.,6
155,Prism Armor,3,Reduces damage from super-effective attacks.,7
156,Propeller Tail,2,Ignores moves and abilities that draw in moves.,8
157,Protean,4,Changes the Pokémon's type to its last used move.,6
158,Psychic Surge,3,The Pokémon creates a Psychic Terrain when it enters a battle.,7
159,Punk Rock,2,Boosts sound-based moves and halves damage from the same moves.,8
160,Pure Power,3,Raises the Pokémon's Attack stat.,3
161,Queenly Majesty,1,Prevents use of priority moves.,7
162,Quick Feet,11,Boosts Speed if there is a status problem.,4
163,Rain Dish,13,The Pokémon gradually regains HP in rain.,3
164,Rattled,15,"Bug, Ghost or Dark type moves scare it and boost its Speed.",5
165,Receiver,1,Inherits an ally's ability when it faints.,7
166,Reckless,13,Powers up moves that have recoil damage.,4
167,Refrigerate,3,Turns Normal-type moves into Ice-type moves.,6
168,Regenerator,21,Restores a little HP when withdrawn from battle.,5
169,Ripen,3,Doubles the effect of berries.,8
170,Rivalry,18,Deals more damage to a Pokémon of same gender.,4
171,RKS System,1,Changes type depending on held item.,7
172,Rock Head,21,Protects the Pokémon from recoil damage.,3
173,Rough Skin,6,Inflicts damage to the attacker on contact.,3
174,Run Away,29,Enables a sure getaway from wild Pokémon.,3
175,Sand Force,18,Boosts certain moves' power in a sandstorm.,5
176,Sand Rush,9,Boosts the Pokémon's Speed in a sandstorm.,5
177,Sand Spit,2,Creates a sandstorm when hit by an attack.,8
178,Sand Stream,5,The Pokémon summons a sandstorm in battle.,3
179,Sand Veil,26,Boosts the Pokémon's evasion in a sandstorm.,3
180,Sap Sipper,17,Boosts Attack when hit by a Grass-type move.,5
181,Schooling,2,Changes Wishiwashi to School Form.,7
182,Scrappy,13,Enables moves to hit Ghost-type Pokémon.,4
183,Screen Cleaner,2,"Nullifies effects of Light Screen, Reflect, and Aurora Veil.",8
184,Serene Grace,13,Boosts the likelihood of added effects appearing.,3
185,Shadow Shield,1,Reduces damage when HP is full.,7
186,Shadow Tag,6,Prevents the foe from escaping.,3
187,Shed Skin,18,The Pokémon may heal its own status problems.,3
188,Sheer Force,29,Removes added effects to increase move damage.,5
189,Shell Armor,25,The Pokémon is protected against critical hits.,3
190,Shield Dust,11,Blocks the added effects of attacks taken.,3
191,Shields Down,2,Changes stats when HP drops below half.,7
192,Simple,5,Doubles all stat changes.,4
193,Skill Link,10,Increases the frequency of multi-strike moves.,4
194,Slow Start,1,Temporarily halves Attack and Speed.,4
195,Slush Rush,6,Boosts the Pokémon's Speed stat in a hailstorm.,7
196,Sniper,17,Powers up moves if they become critical hits.,4
197,Snow Cloak,14,Raises evasion in a hailstorm.,4
198,Snow Warning,8,The Pokémon summons a hailstorm in battle.,4
199,Solar Power,9,"In sunshine, Sp. Atk is boosted but HP decreases.",4
200,Solid Rock,4,Reduces damage from super-effective attacks.,4
201,Soul-Heart,1,Raises Special Attack when an ally faints.,7
202,Soundproof,15,Gives immunity to sound-based moves.,3
203,Speed Boost,12,Its Speed stat is gradually boosted.,3
204,Stakeout,4,Deals double damage to Pokémon switching in.,7
205,Stall,1,The Pokémon moves after all other Pokémon do.,4
206,Stalwart,1,Ignores moves and abilities that draw in moves.,8
207,Stamina,2,Raises Defense when attacked.,7
208,Stance Change,2,Changes form depending on moves used.,6
209,Static,17,Contact with the Pokémon may cause paralysis.,3
210,Steadfast,15,Raises Speed each time the Pokémon flinches.,4
211,Steam Engine,3,Drastically raises Speed when hit by a Fire- or Water-type move.,8
212,Steelworker,1,Powers up Steel-type moves.,7
213,Steely Spirit,1,Powers up ally Pokémon's Steel-type moves.,8
214,Stench,9,The stench may cause the target to flinch.,3
215,Sticky Hold,8,Protects the Pokémon from item theft.,3
216,Storm Drain,7,Draws in all Water-type moves to up Sp. Attack.,4
217,Strong Jaw,10,Boosts the power of biting moves.,6
218,Sturdy,41,It cannot be knocked out with one hit.,3
219,Suction Cups,5,Negates all moves that force switching out.,3
220,Super Luck,9,Heightens the critical-hit ratios of moves.,4
221,Surge Surfer,1,Doubles Speed during Electric Terrain. ,7
222,Swarm,28,Powers up Bug-type moves in a pinch.,3
223,Sweet Veil,9,Prevents the Pokémon and allies from falling asleep.,6
224,Swift Swim,43,Boosts the Pokémon's Speed in rain.,3
225,Symbiosis,4,The Pokémon can pass an item to an ally.,6
226,Synchronize,17,"Passes a burn, poison, or paralysis to the foe.",3
227,Tangled Feet,8,Raises evasion if the Pokémon is confused.,4
228,Tangling Hair,2,Contact with the Pokémon lowers the attacker's Speed stat.,7
229,Technician,22,Powers up the Pokémon's weaker moves.,4
230,Telepathy,24,Anticipates an ally's attack and dodges it.,5
231,Teravolt,2,Moves can be used regardless of Abilities.,5
232,Thick Fat,25,Ups resistance to Fire- and Ice-type moves.,3
233,Tinted Lens,9,Powers up “not very effective” moves.,4
234,Torrent,26,Powers up Water-type moves in a pinch.,3
235,Tough Claws,8,Boosts the power of contact moves.,6
236,Toxic Boost,1,Powers up physical attacks when poisoned.,5
237,Trace,6,The Pokémon copies a foe's Ability.,3
238,Triage,1,Gives priority to restorative moves.,7
239,Truant,3,Pokémon can't attack on consecutive turns.,3
240,Turboblaze,2,Moves can be used regardless of Abilities.,5
241,Unaware,9,Ignores any stat changes in the Pokémon.,4
242,Unburden,14,Raises Speed if a held item is used.,4
243,Unnerve,25,Makes the foe nervous and unable to eat Berries.,5
244,Victory Star,1,Boosts the accuracy of its allies and itself.,5
245,Vital Spirit,15,Prevents the Pokémon from falling asleep.,3
246,Volt Absorb,9,Restores HP if hit by an Electric-type move.,3
247,Wandering Spirit,2,Swaps abilities with opponents on contact.,8
248,Water Absorb,25,Restores HP if hit by a Water-type move.,3
249,Water Bubble,2,"Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns.",7
250,Water Compaction,2,Sharply raises Defense when hit by a Water-type move.,7
251,Water Veil,11,Prevents the Pokémon from getting a burn.,3
252,Weak Armor,22,Physical attacks lower Defense and raise Speed.,5
253,White Smoke,4,Prevents other Pokémon from lowering its stats.,3
254,Wimp Out,1,Switches out when HP drops below half.,7
255,Wonder Guard,1,Only supereffective moves will hit.,3
256,Wonder Skin,5,Makes status-changing moves more likely to miss.,5
257,Zen Mode,4,Changes form when HP drops below half.,5
